Model,Avg RMSE,Std RMSE,Avg MAPE (%),Std MAPE (%)
Naive Baseline,4.23605486294058,1.2909640393325474,140.53600632427205,153.2518664607744
Seasonal Naive,2.688533100278948,0.13827066146971081,88.03789809420428,6.6564189172575885
Random Forest,2.807565864502946,0.18148929089800228,89.15540035016504,6.946368225725137
Enhanced Poisson,2.6957885620538344,0.12493579481951811,91.55243331537804,6.895077050150471
Gradient Boosting,2.762354268447999,0.17458497891560984,88.12415426000989,7.109103937032858
