Feature,Importance
AvgTicketsPerDay,0.7030186257657274
StreetName_Encoded,0.05474941996608607
DowSin,0.042288021305149706
Street_Month,0.03488004806640666
DayOfWeek,0.030929716741088516
MonthCos,0.02621563456158766
MonthSin,0.0255042445639348
Month,0.018519255626898254
Weekend_Month,0.01507995966813377
Street_Weekend,0.014804040254181744
DowCos,0.014278107810533703
Season_Encoded,0.013511481853109509
IsWeekend,0.005549235331344438
IsHighTraffic,0.0006722084858177063
