Model,Avg RMSE,Std RMSE,Avg MAPE (%),Std MAPE (%)
Naive Baseline,3.729373743886807,0.19894671538658248,46.420734627546366,8.755898969444402
Seasonal Naive,2.688319829870926,0.1388329096476649,88.04740571539101,6.657651501701407
Poisson Regression,3.159483565663767,0.09841640478237065,113.49659989342959,6.654439886568631
Random Forest,2.7394977928159094,0.15574372866315842,87.9414301917175,6.873662245598794
